Feature1,Feature2,Category,Target
117.64052345967664,32,A,1
104.00157208367223,70,B,1
109.78737984105739,85,C,0
122.40893199201457,31,D,1
118.67557990149967,13,A,0
90.22722120123589,71,B,1
109.50088417525589,56,C,1
98.48642791702302,24,D,0
98.96781148206442,79,A,0
104.10598501938372,41,B,1
101.44043571160879,18,C,1
114.54273506962976,40,D,0
107.61037725146994,54,A,1
101.21675016492829,79,B,1
104.43863232745426,11,C,1
103.33674327374267,38,D,1
114.94079073157606,93,A,1
97.94841736234198,1,B,1
103.13067701650901,95,C,0
91.45904260698275,44,D,0
74.47010184165921,88,A,1
106.5361859544036,24,B,0
108.64436198859505,67,C,1
92.57834979593558,82,D,0
122.69754623987608,3,A,0
85.45634325401235,76,B,1
100.45758517301446,35,C,1
98.12816149974167,86,D,1
115.32779214358457,61,A,1
114.69358769900285,69,B,1
101.54947425696916,87,C,0
103.78162519602174,43,D,1
91.12214252369887,32,A,1
80.19203531776073,11,B,1
96.52087850673847,84,C,0
101.5634896910398,10,D,0
112.30290680727721,54,A,1
112.02379848784412,37,B,1
96.12673182592047,28,C,0
96.97697249424664,2,D,1
89.51447034932907,27,A,1
85.79982062821026,83,B,1
82.93729809374987,89,C,0
119.5077539523179,23,D,0
94.90347818248347,53,A,0
95.61925698388814,51,B,1
87.47204639950074,46,C,0
107.7749035583191,20,D,0
83.8610215244205,53,A,0
97.87259719786032,29,B,0
91.04533438806324,67,C,0
103.86902497859262,35,D,0
94.89194862431127,39,A,1
88.19367815877588,9,B,1
99.71817771661345,73,C,1
104.28331870530418,41,D,0
100.66517222383168,23,A,0
103.02471897739781,3,B,1
93.65677906319037,46,C,1
96.37258834012862,90,D,1
93.27539552224049,50,A,0
96.4044683845946,3,B,1
91.86853717955546,31,C,0
82.73717397668324,9,D,1
101.77426142253753,10,A,0
95.98219063791738,27,B,1
83.69801653033956,45,C,1
104.62782255525774,71,D,1
90.92701635616757,39,A,0
100.51945395796139,61,B,1
107.29090562177537,85,C,0
101.2898291075741,97,D,0
111.39400684543301,44,A,1
87.65174179646347,34,B,0
104.02341641177549,34,C,1
93.15189909059687,88,D,0
91.29202850818118,33,A,0
94.21150335235585,5,B,1
96.88447467872628,36,C,0
100.56165342229745,0,D,0
88.34850159216643,75,A,0
109.00826486954188,34,B,0
104.6566243973046,69,C,0
84.63756313722776,53,D,0
114.882521937956,80,A,0
118.95889176030583,62,B,0
111.7877957115965,8,C,0
98.2007516418765,61,D,1
89.29247378489458,1,A,0
110.54451726931137,81,B,1
95.9682305302682,35,C,1
112.22445070382427,91,D,0
102.08274978076861,40,A,1
109.76639036483712,36,B,1
103.56366397174402,48,C,1
107.06573168191949,25,D,0
100.1050002072082,67,A,0
117.85870493905836,35,B,1
101.2691209270362,30,C,1
104.01989363444702,29,D,1
,33,,1
200.0,18,A,0
